,activity_id,assay_chembl_id,assay_description,assay_type,molecule_chembl_id,relation,standard_units,standard_value,target_chembl_id,target_organism,type,units,value
17,529463,CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,CHEMBL108339,=,nM,20.0,CHEMBL3105,Homo sapiens,IC50,nM,20.0
18,529470,CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,CHEMBL108339,=,nM,25.0,CHEMBL3105,Homo sapiens,IC50,nM,25.0
19,530785,CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,CHEMBL322957,=,nM,70.0,CHEMBL3105,Homo sapiens,IC50,nM,70.0
20,530788,CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,CHEMBL108840,=,nM,25.0,CHEMBL3105,Homo sapiens,IC50,nM,25.0
21,530795,CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,CHEMBL107260,=,nM,90.0,CHEMBL3105,Homo sapiens,IC50,nM,90.0
22,533457,CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,CHEMBL410733,=,nM,70.0,CHEMBL3105,Homo sapiens,IC50,nM,70.0
23,533460,CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,CHEMBL325336,=,nM,900.0,CHEMBL3105,Homo sapiens,IC50,nM,900.0
24,534774,CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,CHEMBL107764,=,nM,12.0,CHEMBL3105,Homo sapiens,IC50,nM,12.0
25,534777,CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,CHEMBL110178,=,nM,40.0,CHEMBL3105,Homo sapiens,IC50,nM,40.0
26,537477,CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,CHEMBL107935,=,nM,30.0,CHEMBL3105,Homo sapiens,IC50,nM,30.0
27,538726,CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,CHEMBL105925,=,nM,450.0,CHEMBL3105,Homo sapiens,IC50,nM,450.0
28,538729,CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,CHEMBL108919,=,nM,12.0,CHEMBL3105,Homo sapiens,IC50,nM,12.0
29,540007,CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,CHEMBL110332,=,nM,800.0,CHEMBL3105,Homo sapiens,IC50,nM,800.0
30,541257,CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,CHEMBL107616,=,nM,70.0,CHEMBL3105,Homo sapiens,IC50,nM,70.0
31,541260,CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,CHEMBL108137,=,nM,25.0,CHEMBL3105,Homo sapiens,IC50,nM,25.0
32,541263,CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,CHEMBL419020,=,nM,40.0,CHEMBL3105,Homo sapiens,IC50,nM,40.0
33,541270,CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,CHEMBL108239,=,nM,20.0,CHEMBL3105,Homo sapiens,IC50,nM,20.0
34,542688,CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,CHEMBL105765,=,nM,250.0,CHEMBL3105,Homo sapiens,IC50,nM,250.0
35,543905,CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,CHEMBL323488,=,nM,8.5,CHEMBL3105,Homo sapiens,IC50,nM,8.5
36,547944,CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,CHEMBL432211,=,nM,25.0,CHEMBL3105,Homo sapiens,IC50,nM,25.0
37,547951,CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,CHEMBL320579,=,nM,60.0,CHEMBL3105,Homo sapiens,IC50,nM,60.0
38,549091,CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,CHEMBL107601,=,nM,20.0,CHEMBL3105,Homo sapiens,IC50,nM,20.0
39,550066,CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,CHEMBL110115,=,nM,30.0,CHEMBL3105,Homo sapiens,IC50,nM,30.0
40,551284,CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,CHEMBL111606,=,nM,60.0,CHEMBL3105,Homo sapiens,IC50,nM,60.0
41,552622,CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,CHEMBL433356,=,nM,25.0,CHEMBL3105,Homo sapiens,IC50,nM,25.0
42,552625,CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,CHEMBL110682,=,nM,3000.0,CHEMBL3105,Homo sapiens,IC50,nM,3000.0
43,552626,CHEMBL762476,Inhibitory activity against human recombinant PARP-1,B,CHEMBL110681,=,nM,400.0,CHEMBL3105,Homo sapiens,IC50,nM,400.0
44,633516,CHEMBL761610,Inhibitory activity against Poly (ADP-ribose) polymerase 1,B,CHEMBL543394,=,nM,75.0,CHEMBL3105,Homo sapiens,IC50,nM,75.0
45,638252,CHEMBL761610,Inhibitory activity against Poly (ADP-ribose) polymerase 1,B,CHEMBL1160877,=,nM,42.0,CHEMBL3105,Homo sapiens,IC50,nM,42.0
46,640672,CHEMBL761610,Inhibitory activity against Poly (ADP-ribose) polymerase 1,B,CHEMBL82342,=,nM,128.0,CHEMBL3105,Homo sapiens,IC50,nM,128.0
47,642000,CHEMBL761610,Inhibitory activity against Poly (ADP-ribose) polymerase 1,B,CHEMBL323384,=,nM,774.0,CHEMBL3105,Homo sapiens,IC50,nM,774.0
48,645518,CHEMBL761610,Inhibitory activity against Poly (ADP-ribose) polymerase 1,B,CHEMBL107709,=,nM,339.0,CHEMBL3105,Homo sapiens,IC50,nM,339.0
49,645520,CHEMBL761610,Inhibitory activity against Poly (ADP-ribose) polymerase 1,B,CHEMBL543157,=,nM,98.0,CHEMBL3105,Homo sapiens,IC50,nM,98.0
50,646722,CHEMBL761610,Inhibitory activity against Poly (ADP-ribose) polymerase 1,B,CHEMBL542927,=,nM,150.0,CHEMBL3105,Homo sapiens,IC50,nM,150.0
51,647868,CHEMBL761610,Inhibitory activity against Poly (ADP-ribose) polymerase 1,B,CHEMBL1140,=,nM,210000.0,CHEMBL3105,Homo sapiens,IC50,nM,210000.0
52,647869,CHEMBL761610,Inhibitory activity against Poly (ADP-ribose) polymerase 1,B,CHEMBL320031,=,nM,116.0,CHEMBL3105,Homo sapiens,IC50,nM,116.0
53,649136,CHEMBL761610,Inhibitory activity against Poly (ADP-ribose) polymerase 1,B,CHEMBL108106,=,nM,173.0,CHEMBL3105,Homo sapiens,IC50,nM,173.0
54,649138,CHEMBL761610,Inhibitory activity against Poly (ADP-ribose) polymerase 1,B,CHEMBL545507,=,nM,142.0,CHEMBL3105,Homo sapiens,IC50,nM,142.0
55,649147,CHEMBL761610,Inhibitory activity against Poly (ADP-ribose) polymerase 1,B,CHEMBL542692,=,nM,134.0,CHEMBL3105,Homo sapiens,IC50,nM,134.0
56,654944,CHEMBL761610,Inhibitory activity against Poly (ADP-ribose) polymerase 1,B,CHEMBL107284,=,nM,58.0,CHEMBL3105,Homo sapiens,IC50,nM,58.0
57,656200,CHEMBL761610,Inhibitory activity against Poly (ADP-ribose) polymerase 1,B,CHEMBL109064,=,nM,2900.0,CHEMBL3105,Homo sapiens,IC50,nM,2900.0
58,656201,CHEMBL761610,Inhibitory activity against Poly (ADP-ribose) polymerase 1,B,CHEMBL106298,=,nM,247.0,CHEMBL3105,Homo sapiens,IC50,nM,247.0
59,658648,CHEMBL761610,Inhibitory activity against Poly (ADP-ribose) polymerase 1,B,CHEMBL106734,=,nM,209.0,CHEMBL3105,Homo sapiens,IC50,nM,209.0
60,658650,CHEMBL761610,Inhibitory activity against Poly (ADP-ribose) polymerase 1,B,CHEMBL107659,=,nM,51.0,CHEMBL3105,Homo sapiens,IC50,nM,51.0
61,661081,CHEMBL761610,Inhibitory activity against Poly (ADP-ribose) polymerase 1,B,CHEMBL110381,=,nM,311.0,CHEMBL3105,Homo sapiens,IC50,nM,311.0
62,661082,CHEMBL761610,Inhibitory activity against Poly (ADP-ribose) polymerase 1,B,CHEMBL543393,=,nM,277.0,CHEMBL3105,Homo sapiens,IC50,nM,277.0
63,662270,CHEMBL761610,Inhibitory activity against Poly (ADP-ribose) polymerase 1,B,CHEMBL108431,=,nM,71.0,CHEMBL3105,Homo sapiens,IC50,nM,71.0
64,663604,CHEMBL761610,Inhibitory activity against Poly (ADP-ribose) polymerase 1,B,CHEMBL106154,=,nM,180.0,CHEMBL3105,Homo sapiens,IC50,nM,180.0
65,664923,CHEMBL761610,Inhibitory activity against Poly (ADP-ribose) polymerase 1,B,CHEMBL543159,=,nM,111.0,CHEMBL3105,Homo sapiens,IC50,nM,111.0
66,666192,CHEMBL761610,Inhibitory activity against Poly (ADP-ribose) polymerase 1,B,CHEMBL418813,=,nM,112.0,CHEMBL3105,Homo sapiens,IC50,nM,112.0
67,668800,CHEMBL761610,Inhibitory activity against Poly (ADP-ribose) polymerase 1,B,CHEMBL107738,=,nM,14000.0,CHEMBL3105,Homo sapiens,IC50,nM,14000.0
68,668801,CHEMBL761610,Inhibitory activity against Poly (ADP-ribose) polymerase 1,B,CHEMBL541576,=,nM,165.0,CHEMBL3105,Homo sapiens,IC50,nM,165.0
69,669959,CHEMBL761610,Inhibitory activity against Poly (ADP-ribose) polymerase 1,B,CHEMBL45245,=,nM,350.0,CHEMBL3105,Homo sapiens,IC50,nM,350.0
70,669961,CHEMBL761610,Inhibitory activity against Poly (ADP-ribose) polymerase 1,B,CHEMBL108849,=,nM,2600.0,CHEMBL3105,Homo sapiens,IC50,nM,2600.0
71,669962,CHEMBL761610,Inhibitory activity against Poly (ADP-ribose) polymerase 1,B,CHEMBL105995,=,nM,45.0,CHEMBL3105,Homo sapiens,IC50,nM,45.0
72,671254,CHEMBL761610,Inhibitory activity against Poly (ADP-ribose) polymerase 1,B,CHEMBL267373,=,nM,20000.0,CHEMBL3105,Homo sapiens,IC50,nM,20000.0
73,671255,CHEMBL761610,Inhibitory activity against Poly (ADP-ribose) polymerase 1,B,CHEMBL311091,=,nM,169.0,CHEMBL3105,Homo sapiens,IC50,nM,169.0
74,671256,CHEMBL761610,Inhibitory activity against Poly (ADP-ribose) polymerase 1,B,CHEMBL558796,=,nM,86.0,CHEMBL3105,Homo sapiens,IC50,nM,86.0
75,789276,CHEMBL763795,The compound was tested for poly(ADP-ribose)-polymerase (PARP) inhibition,B,CHEMBL48391,=,nM,350.0,CHEMBL3105,Homo sapiens,IC50,uM,0.35
76,793236,CHEMBL763795,The compound was tested for poly(ADP-ribose)-polymerase (PARP) inhibition,B,CHEMBL339059,=,nM,2200000.0,CHEMBL3105,Homo sapiens,IC50,uM,2200.0
77,797656,CHEMBL763795,The compound was tested for poly(ADP-ribose)-polymerase (PARP) inhibition,B,CHEMBL419424,=,nM,9100.0,CHEMBL3105,Homo sapiens,IC50,uM,9.1
78,798897,CHEMBL763795,The compound was tested for poly(ADP-ribose)-polymerase (PARP) inhibition,B,CHEMBL45245,=,nM,300.0,CHEMBL3105,Homo sapiens,IC50,uM,0.3
79,800070,CHEMBL763795,The compound was tested for poly(ADP-ribose)-polymerase (PARP) inhibition,B,CHEMBL123617,=,nM,280000.0,CHEMBL3105,Homo sapiens,IC50,uM,280.0
80,800071,CHEMBL763795,The compound was tested for poly(ADP-ribose)-polymerase (PARP) inhibition,B,CHEMBL123572,=,nM,19000.0,CHEMBL3105,Homo sapiens,IC50,uM,19.0
81,802565,CHEMBL763795,The compound was tested for poly(ADP-ribose)-polymerase (PARP) inhibition,B,CHEMBL125596,=,nM,200000.0,CHEMBL3105,Homo sapiens,IC50,uM,200.0
82,803805,CHEMBL763795,The compound was tested for poly(ADP-ribose)-polymerase (PARP) inhibition,B,CHEMBL123205,=,nM,120000.0,CHEMBL3105,Homo sapiens,IC50,uM,120.0
83,803806,CHEMBL763795,The compound was tested for poly(ADP-ribose)-polymerase (PARP) inhibition,B,CHEMBL338314,=,nM,390.0,CHEMBL3105,Homo sapiens,IC50,uM,0.39
84,804984,CHEMBL763795,The compound was tested for poly(ADP-ribose)-polymerase (PARP) inhibition,B,CHEMBL123978,=,nM,17000.0,CHEMBL3105,Homo sapiens,IC50,uM,17.0
85,804985,CHEMBL763795,The compound was tested for poly(ADP-ribose)-polymerase (PARP) inhibition,B,CHEMBL338567,=,nM,160000.0,CHEMBL3105,Homo sapiens,IC50,uM,160.0
86,806377,CHEMBL763795,The compound was tested for poly(ADP-ribose)-polymerase (PARP) inhibition,B,CHEMBL121999,=,nM,300000.0,CHEMBL3105,Homo sapiens,IC50,uM,300.0
87,806378,CHEMBL763795,The compound was tested for poly(ADP-ribose)-polymerase (PARP) inhibition,B,CHEMBL266540,=,nM,9500.0,CHEMBL3105,Homo sapiens,IC50,uM,9.5
88,807749,CHEMBL763795,The compound was tested for poly(ADP-ribose)-polymerase (PARP) inhibition,B,CHEMBL332444,=,nM,1800000.0,CHEMBL3105,Homo sapiens,IC50,uM,1800.0
89,809037,CHEMBL763795,The compound was tested for poly(ADP-ribose)-polymerase (PARP) inhibition,B,CHEMBL81977,=,nM,33000.0,CHEMBL3105,Homo sapiens,IC50,uM,33.0
90,809038,CHEMBL763795,The compound was tested for poly(ADP-ribose)-polymerase (PARP) inhibition,B,CHEMBL339695,=,nM,7000.0,CHEMBL3105,Homo sapiens,IC50,uM,7.0
91,810273,CHEMBL763795,The compound was tested for poly(ADP-ribose)-polymerase (PARP) inhibition,B,CHEMBL125759,=,nM,20000.0,CHEMBL3105,Homo sapiens,IC50,uM,20.0
92,812757,CHEMBL763795,The compound was tested for poly(ADP-ribose)-polymerase (PARP) inhibition,B,CHEMBL421646,=,nM,8100.0,CHEMBL3105,Homo sapiens,IC50,uM,8.1
93,813887,CHEMBL763795,The compound was tested for poly(ADP-ribose)-polymerase (PARP) inhibition,B,CHEMBL124815,=,nM,8500.0,CHEMBL3105,Homo sapiens,IC50,uM,8.5
94,814018,CHEMBL763795,The compound was tested for poly(ADP-ribose)-polymerase (PARP) inhibition,B,CHEMBL419245,=,nM,22000.0,CHEMBL3105,Homo sapiens,IC50,uM,22.0
95,816383,CHEMBL763795,The compound was tested for poly(ADP-ribose)-polymerase (PARP) inhibition,B,CHEMBL339586,=,nM,1400.0,CHEMBL3105,Homo sapiens,IC50,uM,1.4
96,818863,CHEMBL763795,The compound was tested for poly(ADP-ribose)-polymerase (PARP) inhibition,B,CHEMBL121765,=,nM,1000.0,CHEMBL3105,Homo sapiens,IC50,uM,1.0
97,818865,CHEMBL763795,The compound was tested for poly(ADP-ribose)-polymerase (PARP) inhibition,B,CHEMBL124706,=,nM,12000.0,CHEMBL3105,Homo sapiens,IC50,uM,12.0
98,820895,CHEMBL763795,The compound was tested for poly(ADP-ribose)-polymerase (PARP) inhibition,B,CHEMBL267373,=,nM,22000.0,CHEMBL3105,Homo sapiens,IC50,uM,22.0
99,823218,CHEMBL763795,The compound was tested for poly(ADP-ribose)-polymerase (PARP) inhibition,B,CHEMBL338790,=,nM,180.0,CHEMBL3105,Homo sapiens,IC50,uM,0.18
100,823294,CHEMBL763795,The compound was tested for poly(ADP-ribose)-polymerase (PARP) inhibition,B,CHEMBL122690,=,nM,55000.0,CHEMBL3105,Homo sapiens,IC50,uM,55.0
101,823295,CHEMBL763795,The compound was tested for poly(ADP-ribose)-polymerase (PARP) inhibition,B,CHEMBL395092,=,nM,5600.0,CHEMBL3105,Homo sapiens,IC50,uM,5.6
102,946852,CHEMBL761611,Inhibitory concentration against purified recombinant human Poly (ADP-ribose) polymerase 1,B,CHEMBL46137,=,nM,10.0,CHEMBL3105,Homo sapiens,IC50,uM,0.01
103,946854,CHEMBL761611,Inhibitory concentration against purified recombinant human Poly (ADP-ribose) polymerase 1,B,CHEMBL296750,=,nM,92.0,CHEMBL3105,Homo sapiens,IC50,uM,0.092
104,946914,CHEMBL762473,Inhibitory concentration against purified recombinant human poly (ADP-ribose) polymerase-1 (PARP1),B,CHEMBL45707,=,nM,44.0,CHEMBL3105,Homo sapiens,IC50,uM,0.044
105,949408,CHEMBL761611,Inhibitory concentration against purified recombinant human Poly (ADP-ribose) polymerase 1,B,CHEMBL297175,=,nM,195.0,CHEMBL3105,Homo sapiens,IC50,uM,0.195
106,953451,CHEMBL761611,Inhibitory concentration against purified recombinant human Poly (ADP-ribose) polymerase 1,B,CHEMBL47840,=,nM,3260.0,CHEMBL3105,Homo sapiens,IC50,uM,3.26
107,956196,CHEMBL761611,Inhibitory concentration against purified recombinant human Poly (ADP-ribose) polymerase 1,B,CHEMBL47283,=,nM,33.0,CHEMBL3105,Homo sapiens,IC50,uM,0.033
108,957407,CHEMBL761611,Inhibitory concentration against purified recombinant human Poly (ADP-ribose) polymerase 1,B,CHEMBL48138,=,nM,57.0,CHEMBL3105,Homo sapiens,IC50,uM,0.057
109,958760,CHEMBL761611,Inhibitory concentration against purified recombinant human Poly (ADP-ribose) polymerase 1,B,CHEMBL45764,=,nM,180.0,CHEMBL3105,Homo sapiens,IC50,uM,0.18
110,961085,CHEMBL761611,Inhibitory concentration against purified recombinant human Poly (ADP-ribose) polymerase 1,B,CHEMBL540525,=,nM,30.0,CHEMBL3105,Homo sapiens,IC50,uM,0.03
111,962321,CHEMBL761611,Inhibitory concentration against purified recombinant human Poly (ADP-ribose) polymerase 1,B,CHEMBL45245,=,nM,520.0,CHEMBL3105,Homo sapiens,IC50,uM,0.52
112,963589,CHEMBL761611,Inhibitory concentration against purified recombinant human Poly (ADP-ribose) polymerase 1,B,CHEMBL45904,=,nM,6100.0,CHEMBL3105,Homo sapiens,IC50,uM,6.1
113,963691,CHEMBL762473,Inhibitory concentration against purified recombinant human poly (ADP-ribose) polymerase-1 (PARP1),B,CHEMBL289198,=,nM,30.0,CHEMBL3105,Homo sapiens,IC50,uM,0.03
114,966404,CHEMBL761611,Inhibitory concentration against purified recombinant human Poly (ADP-ribose) polymerase 1,B,CHEMBL298450,=,nM,240.0,CHEMBL3105,Homo sapiens,IC50,uM,0.24
115,966405,CHEMBL761611,Inhibitory concentration against purified recombinant human Poly (ADP-ribose) polymerase 1,B,CHEMBL294995,=,nM,184.0,CHEMBL3105,Homo sapiens,IC50,uM,0.184
116,966406,CHEMBL761611,Inhibitory concentration against purified recombinant human Poly (ADP-ribose) polymerase 1,B,CHEMBL47508,=,nM,14.0,CHEMBL3105,Homo sapiens,IC50,uM,0.014
117,967629,CHEMBL761611,Inhibitory concentration against purified recombinant human Poly (ADP-ribose) polymerase 1,B,CHEMBL298053,=,nM,21.0,CHEMBL3105,Homo sapiens,IC50,uM,0.021
118,967630,CHEMBL761611,Inhibitory concentration against purified recombinant human Poly (ADP-ribose) polymerase 1,B,CHEMBL298064,=,nM,312.0,CHEMBL3105,Homo sapiens,IC50,uM,0.312
119,969949,CHEMBL761611,Inhibitory concentration against purified recombinant human Poly (ADP-ribose) polymerase 1,B,CHEMBL46196,=,nM,37.0,CHEMBL3105,Homo sapiens,IC50,uM,0.037
120,969950,CHEMBL761611,Inhibitory concentration against purified recombinant human Poly (ADP-ribose) polymerase 1,B,CHEMBL45072,=,nM,2010.0,CHEMBL3105,Homo sapiens,IC50,uM,2.01
121,972632,CHEMBL761611,Inhibitory concentration against purified recombinant human Poly (ADP-ribose) polymerase 1,B,CHEMBL417002,=,nM,36.0,CHEMBL3105,Homo sapiens,IC50,uM,0.036
122,976312,CHEMBL761611,Inhibitory concentration against purified recombinant human Poly (ADP-ribose) polymerase 1,B,CHEMBL47846,=,nM,35000.0,CHEMBL3105,Homo sapiens,IC50,uM,35.0
123,976313,CHEMBL761611,Inhibitory concentration against purified recombinant human Poly (ADP-ribose) polymerase 1,B,CHEMBL297200,=,nM,14000.0,CHEMBL3105,Homo sapiens,IC50,uM,14.0
124,978669,CHEMBL761611,Inhibitory concentration against purified recombinant human Poly (ADP-ribose) polymerase 1,B,CHEMBL296032,=,nM,35.0,CHEMBL3105,Homo sapiens,IC50,uM,0.035
125,980114,CHEMBL761611,Inhibitory concentration against purified recombinant human Poly (ADP-ribose) polymerase 1,B,CHEMBL47371,=,nM,136.0,CHEMBL3105,Homo sapiens,IC50,uM,0.136
126,983796,CHEMBL761611,Inhibitory concentration against purified recombinant human Poly (ADP-ribose) polymerase 1,B,CHEMBL289834,=,nM,150.0,CHEMBL3105,Homo sapiens,IC50,uM,0.15
127,983797,CHEMBL761611,Inhibitory concentration against purified recombinant human Poly (ADP-ribose) polymerase 1,B,CHEMBL48391,=,nM,156.0,CHEMBL3105,Homo sapiens,IC50,uM,0.156
128,984975,CHEMBL761611,Inhibitory concentration against purified recombinant human Poly (ADP-ribose) polymerase 1,B,CHEMBL225725,=,nM,180.0,CHEMBL3105,Homo sapiens,IC50,uM,0.18
129,1226016,CHEMBL761609,Inhibition of human recombinant Poly (ADP-ribose) polymerase 1,B,CHEMBL84741,=,nM,42.0,CHEMBL3105,Homo sapiens,IC50,nM,42.0
130,1228543,CHEMBL761609,Inhibition of human recombinant Poly (ADP-ribose) polymerase 1,B,CHEMBL444846,=,nM,20.0,CHEMBL3105,Homo sapiens,IC50,nM,20.0
131,1229787,CHEMBL761609,Inhibition of human recombinant Poly (ADP-ribose) polymerase 1,B,CHEMBL84979,=,nM,35.0,CHEMBL3105,Homo sapiens,IC50,nM,35.0
132,1232073,CHEMBL761609,Inhibition of human recombinant Poly (ADP-ribose) polymerase 1,B,CHEMBL83224,=,nM,30.0,CHEMBL3105,Homo sapiens,IC50,nM,30.0
133,1236114,CHEMBL761609,Inhibition of human recombinant Poly (ADP-ribose) polymerase 1,B,CHEMBL84886,=,nM,162.0,CHEMBL3105,Homo sapiens,IC50,nM,162.0
134,1236116,CHEMBL761609,Inhibition of human recombinant Poly (ADP-ribose) polymerase 1,B,CHEMBL82940,=,nM,357.0,CHEMBL3105,Homo sapiens,IC50,nM,357.0
135,1237345,CHEMBL761609,Inhibition of human recombinant Poly (ADP-ribose) polymerase 1,B,CHEMBL309636,=,nM,240.0,CHEMBL3105,Homo sapiens,IC50,nM,240.0
136,1238665,CHEMBL761609,Inhibition of human recombinant Poly (ADP-ribose) polymerase 1,B,CHEMBL84265,=,nM,210.0,CHEMBL3105,Homo sapiens,IC50,nM,210.0
137,1239900,CHEMBL761609,Inhibition of human recombinant Poly (ADP-ribose) polymerase 1,B,CHEMBL312183,=,nM,457.0,CHEMBL3105,Homo sapiens,IC50,nM,457.0
138,1239901,CHEMBL761609,Inhibition of human recombinant Poly (ADP-ribose) polymerase 1,B,CHEMBL85733,=,nM,185.0,CHEMBL3105,Homo sapiens,IC50,nM,185.0
139,1242631,CHEMBL761609,Inhibition of human recombinant Poly (ADP-ribose) polymerase 1,B,CHEMBL84192,=,nM,59.0,CHEMBL3105,Homo sapiens,IC50,nM,59.0
140,1242633,CHEMBL761609,Inhibition of human recombinant Poly (ADP-ribose) polymerase 1,B,CHEMBL310120,=,nM,89.0,CHEMBL3105,Homo sapiens,IC50,nM,89.0
141,1243844,CHEMBL761609,Inhibition of human recombinant Poly (ADP-ribose) polymerase 1,B,CHEMBL84096,=,nM,25.0,CHEMBL3105,Homo sapiens,IC50,nM,25.0
142,1247683,CHEMBL761609,Inhibition of human recombinant Poly (ADP-ribose) polymerase 1,B,CHEMBL84044,=,nM,7500.0,CHEMBL3105,Homo sapiens,IC50,nM,7500.0
143,1249217,CHEMBL761609,Inhibition of human recombinant Poly (ADP-ribose) polymerase 1,B,CHEMBL83760,=,nM,167.0,CHEMBL3105,Homo sapiens,IC50,nM,167.0
144,1251462,CHEMBL761609,Inhibition of human recombinant Poly (ADP-ribose) polymerase 1,B,CHEMBL313782,=,nM,376.0,CHEMBL3105,Homo sapiens,IC50,nM,376.0
145,1251464,CHEMBL761609,Inhibition of human recombinant Poly (ADP-ribose) polymerase 1,B,CHEMBL45245,=,nM,350.0,CHEMBL3105,Homo sapiens,IC50,nM,350.0
146,1251465,CHEMBL761609,Inhibition of human recombinant Poly (ADP-ribose) polymerase 1,B,CHEMBL311091,=,nM,169.0,CHEMBL3105,Homo sapiens,IC50,nM,169.0
147,1253832,CHEMBL761609,Inhibition of human recombinant Poly (ADP-ribose) polymerase 1,B,CHEMBL82336,=,nM,99.0,CHEMBL3105,Homo sapiens,IC50,nM,99.0
148,1253833,CHEMBL761609,Inhibition of human recombinant Poly (ADP-ribose) polymerase 1,B,CHEMBL312316,=,nM,116.0,CHEMBL3105,Homo sapiens,IC50,nM,116.0
149,1253835,CHEMBL761609,Inhibition of human recombinant Poly (ADP-ribose) polymerase 1,B,CHEMBL83432,=,nM,349.0,CHEMBL3105,Homo sapiens,IC50,nM,349.0
150,1255223,CHEMBL761609,Inhibition of human recombinant Poly (ADP-ribose) polymerase 1,B,CHEMBL420964,=,nM,243.0,CHEMBL3105,Homo sapiens,IC50,nM,243.0
